T,L,LL,R,E,D,DLI,Year,Month,Day,Hour,Minute,Second,Day365,Hour24,Sunrise,Sunset
1518078291,21.718289000000002,0,5,0.34,0,0.044905603,2018,01,08,08,24,51,39,08,1518073895,1518110842
1518078292,21.715486,0,5,0.34,0,0.044927319,2018,01,08,08,24,52,39,08,1518073895,1518110842
1518078293,21.684604999999998,0,5,0.34,0,0.044949003,2018,01,08,08,24,53,39,08,1518073895,1518110842
1518078294,21.652809,0,5,0.34,0,0.044970653000000006,2018,01,08,08,24,54,39,08,1518073895,1518110842
1518078295,21.644344,0,5,0.34,0,0.044992297,2018,01,08,08,24,55,39,08,1518073895,1518110842
1518078296,21.679083,0,5,0.34,0,0.045013975,2018,01,08,08,24,56,39,08,1518073895,1518110842
1518078297,21.705231,0,5,0.34,0,0.045035678,2018,01,08,08,24,57,39,08,1518073895,1518110842
1518078298,21.694378,0,5,0.33,0,0.045057375,2018,01,08,08,24,58,39,08,1518073895,1518110842
1518078299,21.671944,0,5,0.34,0,0.04507905,2018,01,08,08,24,59,39,08,1518073895,1518110842
1518078300,21.6691,0,5,0.33,0,0.045100719,2018,01,08,08,25,00,39,08,1518073895,1518110842
1518078301,21.662081,0,5,0.34,0,0.045122381,2018,01,08,08,25,01,39,08,1518073895,1518110842
1518078302,21.673794,0,5,0.34,0,0.045144056,2018,01,08,08,25,02,39,08,1518073895,1518110842
1518078303,21.672863,0,5,0.34,0,0.045165728,2018,01,08,08,25,03,39,08,1518073895,1518110842
1518078304,21.661688,0,5,0.34,0,0.045187391,2018,01,08,08,25,04,39,08,1518073895,1518110842
1518078305,21.676216,0,5,0.34,0,0.045209069,2018,01,08,08,25,05,39,08,1518073895,1518110842
1518078306,21.687586,0,5,0.34,0,0.045230756,2018,01,08,08,25,06,39,08,1518073895,1518110842
1518078307,21.739531,0,5,0.34,0,0.045252496999999996,2018,01,08,08,25,07,39,08,1518073895,1518110842
1518078308,21.752116,0,5,0.34,0,0.04527425,2018,01,08,08,25,08,39,08,1518073895,1518110842
1518078309,21.746398000000003,0,5,0.33,0,0.045296,2018,01,08,08,25,09,39,08,1518073895,1518110842
1518078310,21.684576999999997,0,5,0.34,0,0.045317684000000004,2018,01,08,08,25,10,39,08,1518073895,1518110842
1518078311,21.644828,0,5,0.34,0,0.045339328000000005,2018,01,08,08,25,11,39,08,1518073895,1518110842
1518078312,21.732453,0,5,0.34,0,0.045361059,2018,01,08,08,25,12,39,08,1518073895,1518110842
1518078313,21.548809,0,5,0.33,0,0.045382606,2018,01,08,08,25,13,39,08,1518073895,1518110842
1518078314,21.449236,0,5,0.34,0,0.045404059000000004,2018,01,08,08,25,14,39,08,1518073895,1518110842
1518078315,21.410728,0,5,0.34,0,0.045425469,2018,01,08,08,25,15,39,08,1518073895,1518110842
1518078316,21.637116,0,5,0.33,0,0.045447103,2018,01,08,08,25,16,39,08,1518073895,1518110842
1518078317,21.783566,0,5,0.33,0,0.045468884,2018,01,08,08,25,17,39,08,1518073895,1518110842
1518078318,21.919213,0,5,0.33,0,0.045490806,2018,01,08,08,25,18,39,08,1518073895,1518110842
1518078319,22.011214000000002,0,5,0.33,0,0.045512819,2018,01,08,08,25,19,39,08,1518073895,1518110842
1518078320,22.074379999999998,0,5,0.33,0,0.045534894,2018,01,08,08,25,20,39,08,1518073895,1518110842
1518078321,22.144128,0,5,0.33,0,0.045557038,2018,01,08,08,25,21,39,08,1518073895,1518110842
1518078322,22.170054999999998,0,5,0.34,0,0.045579206,2018,01,08,08,25,22,39,08,1518073895,1518110842
1518078323,22.220113,0,5,0.34,0,0.045601428,2018,01,08,08,25,23,39,08,1518073895,1518110842
1518078324,22.279342,0,5,0.33,0,0.045623709000000005,2018,01,08,08,25,24,39,08,1518073895,1518110842
1518078325,22.341425,0,5,0.33,0,0.04564605,2018,01,08,08,25,25,39,08,1518073895,1518110842
1518078326,22.354785999999997,0,5,0.33,0,0.045668403,2018,01,08,08,25,26,39,08,1518073895,1518110842
