T,L,LL,R,E,D,DLI,Year,Month,Day,Hour,Minute,Second,Day365,Hour24,Sunrise,Sunset
1514562839,0.958642,0,0,0.09,126,0.000374953,2017,11,29,15,53,59,363,15,1514532761,1514565662
1514562840,0.9692379999999999,0,0,0.1,126,0.000375923,2017,11,29,15,54,00,363,15,1514532761,1514565662
1514562841,0.950081,0,0,0.08,126,0.000376873,2017,11,29,15,54,01,363,15,1514532761,1514565662
1514562842,0.941422,0,0,0.08,126,0.00037781399999999997,2017,11,29,15,54,02,363,15,1514532761,1514565662
1514562843,0.964576,0,0,0.09,126,0.000378779,2017,11,29,15,54,03,363,15,1514532761,1514565662
1514562844,0.975633,0,0,0.09,126,0.000379754,2017,11,29,15,54,04,363,15,1514532761,1514565662
1514562845,0.9737629999999999,0,0,0.1,126,0.00038072800000000005,2017,11,29,15,54,05,363,15,1514532761,1514565662
1514562846,0.9924850000000001,0,0,0.09,126,0.000381721,2017,11,29,15,54,06,363,15,1514532761,1514565662
1514562847,0.9640290000000001,0,0,0.09,126,0.000382685,2017,11,29,15,54,07,363,15,1514532761,1514565662
1514562848,0.9894799999999999,0,0,0.09,126,0.00038367399999999997,2017,11,29,15,54,08,363,15,1514532761,1514565662
1514562849,1.007585,0,0,0.09,126,0.000384682,2017,11,29,15,54,09,363,15,1514532761,1514565662
1514562850,1.021283,0,0,0.1,126,0.00038570300000000004,2017,11,29,15,54,10,363,15,1514532761,1514565662
1514562851,0.9898129999999999,0,0,0.07,126,0.00038669299999999997,2017,11,29,15,54,11,363,15,1514532761,1514565662
1514562852,0.9510870000000001,0,0,0.09,126,0.00038764400000000003,2017,11,29,15,54,12,363,15,1514532761,1514565662
1514562853,0.984549,0,0,0.08,126,0.000388628,2017,11,29,15,54,13,363,15,1514532761,1514565662
1514562854,0.9762770000000001,0,0,0.08,126,0.000389605,2017,11,29,15,54,14,363,15,1514532761,1514565662
1514562855,0.95714,0,0,0.09,126,0.000390562,2017,11,29,15,54,15,363,15,1514532761,1514565662
1514562856,0.982511,0,0,0.08,126,0.000391544,2017,11,29,15,54,16,363,15,1514532761,1514565662
1514562857,1.000569,0,0,0.09,126,0.000392545,2017,11,29,15,54,17,363,15,1514532761,1514565662
1514562858,0.977384,0,0,0.08,126,0.000393522,2017,11,29,15,54,18,363,15,1514532761,1514565662
1514562859,0.983318,0,0,0.09,126,0.000394506,2017,11,29,15,54,19,363,15,1514532761,1514565662
1514562860,0.998218,0,0,0.09,126,0.00039550399999999997,2017,11,29,15,54,20,363,15,1514532761,1514565662
1514562861,1.015663,0,0,0.09,126,0.00039652,2017,11,29,15,54,21,363,15,1514532761,1514565662
1514562862,0.989276,0,0,0.08,126,0.000397509,2017,11,29,15,54,22,363,15,1514532761,1514565662
1514562863,1.0244719999999998,0,0,0.08,126,0.000398533,2017,11,29,15,54,23,363,15,1514532761,1514565662
1514562864,1.005901,0,0,0.09,126,0.00039953899999999997,2017,11,29,15,54,24,363,15,1514532761,1514565662
1514562865,0.994758,0,0,0.08,126,0.000400534,2017,11,29,15,54,25,363,15,1514532761,1514565662
1514562866,1.0022469999999999,0,0,0.09,126,0.000401536,2017,11,29,15,54,26,363,15,1514532761,1514565662
1514562867,0.961382,0,0,0.09,126,0.000402498,2017,11,29,15,54,27,363,15,1514532761,1514565662
1514562868,0.945368,0,0,0.09,126,0.00040344299999999997,2017,11,29,15,54,28,363,15,1514532761,1514565662
1514562869,0.966943,0,0,0.09,126,0.00040441,2017,11,29,15,54,29,363,15,1514532761,1514565662
1514562870,0.9827229999999999,0,0,0.09,126,0.000405393,2017,11,29,15,54,30,363,15,1514532761,1514565662
1514562871,0.941163,0,0,0.09,126,0.000406334,2017,11,29,15,54,31,363,15,1514532761,1514565662
1514562872,0.9389059999999999,0,0,0.08,126,0.000407273,2017,11,29,15,54,32,363,15,1514532761,1514565662
1514562873,0.948892,0,0,0.09,126,0.00040822199999999997,2017,11,29,15,54,33,363,15,1514532761,1514565662
1514562874,0.9577180000000001,0,0,0.08,126,0.000409179,2017,11,29,15,54,34,363,15,1514532761,1514565662
1514562875,0.968683,0,0,0.08,126,0.00041014799999999994,2017,11,29,15,54,35,363,15,1514532761,1514565662
1514562876,1.012117,0,0,0.08,126,0.00041116000000000004,2017,11,29,15,54,36,363,15,1514532761,1514565662
1514562877,0.995653,0,0,0.09,126,0.00041215600000000006,2017,11,29,15,54,37,363,15,1514532761,1514565662
1514562878,1.005619,0,0,0.07,126,0.00041316099999999994,2017,11,29,15,54,38,363,15,1514532761,1514565662
1514562879,1.017269,0,0,0.08,126,0.000414179,2017,11,29,15,54,39,363,15,1514532761,1514565662
1514562880,0.993074,0,0,0.08,126,0.000415172,2017,11,29,15,54,40,363,15,1514532761,1514565662
